reviewId,reviewTitle,reviewDetail,reviewee,noOfStars,reviewDate,reviewerType,images,product_id
544416668,nicely best,best,kamal ,5,2024-02-14T09:17:42Z,anonymous_user,[],146012
543539224,Good,"Everything is good except the box, it smells like burnt plastic and also doesn't look good enough. vincent chase box would be a better alternative.",Krrish K.,4,2024-02-11T12:52:05Z,anonymous_user,[],146012
542513826,Awesome,very perfect ❤️‍🩹,PRATIK,5,2024-02-08T11:37:25Z,anonymous_user,[],146012
541348170,👍,product is nice but delivery is very late,Aryan j.,5,2024-02-02T14:25:50Z,anonymous_user,[],146012
541347938,👍👌,product is nice,Aryan j.,5,2024-02-02T14:24:23Z,anonymous_user,[],146012
537036817,Unique Design. Quality product.,"product is great! perfectly fit. I just loved it.😍
thanks to lenskart!!❤️",Somya P.,5,2024-01-14T15:24:23Z,anonymous_user,[],146012
536652679,satisfied,these glasses look very good,Aparna K.,5,2024-01-12T04:55:26Z,anonymous_user,[],146012
530962284,highly satisfied,good quality. unexpected quality...even i get blue cut lenses 😂 which was not in the package...😆😆 normal hardcore glasses was in thr package but they delivered me with the blue cut glasses...😊😊,Aman ,5,2023-12-16T13:22:53Z,anonymous_user,[],146012
529261085,Satisfactory Product,"Good quality, correct powers , Affordable price , Amazing service and Fast delivery",Ankita S.,5,2023-12-09T05:06:03Z,anonymous_user,[],146012
527722369,Classy look,The golden details look amazing with the transparent frame.,Mansi R.,4,2023-12-04T12:25:31Z,anonymous_user,[],146012
526815847,lenskart AIR,EYECONIC 👓😎,kirtan j.,4,2023-11-30T02:53:55Z,anonymous_user,[],146012
525423122,perfect amazing product,"looking good, happy",praveen a.,5,2023-11-24T01:40:19Z,anonymous_user,[],146012
525139838,Comfortable to wear.,"This Lenskart Air Spectacle is designed for ultimate comfort, ensuring a seamless and enjoyable experience for your eyes. and I love it.",Ritabrata M.,5,2023-11-22T12:21:38Z,anonymous_user,[],146012
522934915,super,best,praveen a.,5,2023-11-13T00:24:19Z,anonymous_user,[],146012
522917836,"Good, Great, SuperB!",🔥🔥🔥,Aisha R.,5,2023-11-12T20:38:34Z,anonymous_user,[],146012
521881814,very nice product,"So comfortable frame and worth for money,just loved it",Shagoofa S.,5,2023-11-07T09:39:46Z,anonymous_user,[],146012
521418372,good quality,The product is having nice e quantity and design,alwin ,5,2023-11-05T14:20:42Z,anonymous_user,[],146012
521303637,Nice Product,"Great Fit
Go for It!",Sourav K.,5,2023-11-04T18:05:48Z,anonymous_user,[],146012
517874631,Good quality and service,I like the quality and service at the Lenskart showroom Bandlaguda. Akrity helped choose the glasses and guided me through the process of booking the order.,Alok,5,2023-10-29T14:07:05Z,anonymous_user,[],146012
517398153,Awesome service and products,Must visit the shore and try this product once,dahyesh d.,5,2023-10-27T11:36:00Z,anonymous_user,[],146012
514743850,good,fits perfect,Md S.,5,2023-10-22T04:46:42Z,anonymous_user,[],146012
512389506,Superb,I like this product.,P V.,5,2023-10-14T13:35:16Z,anonymous_user,[],146012
506380469,I love it 💖😍,good 👍😊,Juveriya Q.,5,2023-09-30T18:05:04Z,anonymous_user,[],146012
500444125,nice,good,deva ,4,2023-09-13T07:13:40Z,anonymous_user,[],146012
495239431,Awesome 💫,Very Nice Perfect Size,Patel N.,5,2023-08-21T13:00:15Z,anonymous_user,[],146012
494939563,Lenskart air,Excellent product from lenskart,Sachit S.,5,2023-08-20T15:28:24Z,anonymous_user,[],146012
492677339,perfect,Its light and looks awesome,fayaz a.,5,2023-08-12T15:39:35Z,verified_reviewer,[],146012
483640345,Lenskart Air,It's good.,Sahil D.,4,2023-07-17T11:34:34Z,anonymous_user,[],146012
481776138,really good,must buy category,rushikesh k.,4,2023-07-07T01:08:29Z,anonymous_user,[],146012
480666821,Corrosion Issue,My frame is rusting because of water but the over all quality of the frame and lens is quite good and I have seen another issue with the lens is that it has scratches all over the lens,Ahmed A.,4,2023-07-01T04:02:39Z,verified_reviewer,[],146012
479992102,I have been waiting for this frame for 4 months.,"I love this frame, but it is currently out of stock and i am still waiting for it",Ayush M.,5,2023-06-27T11:24:02Z,verified_reviewer,[],146012
471263543,Excellent,Best Quality Brand in India,Aayansh M.,5,2023-05-23T17:01:56Z,anonymous_user,[],146012
468775503,experience,i tried it first time I loved it and good experience form lenskart,Asagarali A.,5,2023-05-11T13:42:03Z,anonymous_user,[],146012
468506503,Nice Product,Good quality and nice frame,Ashwin,5,2023-05-10T09:08:54Z,anonymous_user,[],146012
451198877,good,"nice adjustment,good looking",dinesh ,4,2023-03-08T07:28:56Z,anonymous_user,[],146012
449558023,good quality,fit is good,Vishal,5,2023-03-02T02:15:12Z,anonymous_user,[],146012
447582564,very good,very good,Debalina D.,5,2023-02-24T10:24:44Z,anonymous_user,[],146012
447495750,🕶️ are awesome,I try lenskart for 1 time and I love him glasses and delivery experience,sourabh s.,5,2023-02-24T05:51:03Z,anonymous_user,[],146012
445800752,Loved it,Loved it😻,Deepshikha s.,5,2023-02-21T08:08:31Z,anonymous_user,[],146012
441663282,Nothing just wow,Good one I am happy thanks for lenskart,dinesh ,5,2023-02-13T12:43:57Z,anonymous_user,[],146012
439083740,Classic,Nice and Shine,Harsh S.,5,2023-02-05T16:46:30Z,anonymous_user,[],146012
439036939,comment,"the size and power is perfect as I expected, thank you so much lenskart",TODAM K.,5,2023-02-05T07:43:28Z,anonymous_user,[],146012
437543407,"Feels premium, looks premium","Quite good quality at this price range, loved this product",Kunjal P.,5,2023-02-01T14:23:40Z,verified_reviewer,[],146012
437538868,size,too big,Varsity K.,4,2023-02-01T14:12:13Z,anonymous_user,[],146012
437322560,Nice but... Delivery 👎🏻,1st off all specs build quality and perfection is best but i didnt be satisfied with delivery coz delivery ( DTDC ) not delivered to my address thay called me and told me to collect courier from there delivery spot that was not good,akhilesh v.,4,2023-01-31T12:36:26Z,anonymous_user,[],146012
437320724,super,superb product,aadarsh ,5,2023-01-31T12:12:16Z,anonymous_user,[],146012
437320650,superb,very nice product,aadarsh ,5,2023-01-31T12:11:31Z,anonymous_user,[],146012
435136865,Great Purchase,Im glad I bought it suits well and quality material n service,Poras K.,5,2023-01-28T07:54:14Z,verified_reviewer,[],146012
434685484,superb product,"Although this is my first specs from lenskart and I am highly satisfied with the product quality and finish and lenses are too good , at this price range this is the must buy product,Go for it",Aniket V.,5,2023-01-26T19:56:24Z,verified_reviewer,[],146012
434355474,glass,good quality,Sherly M.,5,2023-01-25T06:57:43Z,anonymous_user,[],146012
434111097,Aa expected from a brand like lenskart,"Feels premium, looks premium and pricing is so perfect, dont think just go for it",Ayush P.,5,2023-01-24T13:05:14Z,verified_reviewer,[],146012
432672171,Unexpectedly good,product is so good that first time I wore it my first reaction was WOW excellent product specially the blue cut lenses from here onwards i will never buy from offline store lenskart will be my go to store,shrikant,5,2023-01-18T09:22:32Z,verified_reviewer,[],146012
432382184,Paisa Wadool Product,"Frame is Good,there is no fitting issue,Quality of frame and Glasses is Also fine,fully satisfied with product Thanks Lenskart",Sanjay S.,5,2023-01-17T13:18:27Z,anonymous_user,[],146012
430191638,looks Good But Quality could be better,looks good though but there comes a cracking sound of cheap plastic whenever i wear or remove glasses from the sides,rahul v.,4,2023-01-05T17:06:32Z,verified_reviewer,[],146012
428223636,wow,thankyou lenskart,Nikhil A.,5,2022-12-28T09:20:52Z,anonymous_user,[],146012
427744661,be comfortable,Value of money and satisfied,shah a.,5,2022-12-26T03:52:46Z,anonymous_user,[],146012
427128586,Premium,best product premium look,swanand p.,5,2022-12-22T10:03:33Z,verified_reviewer,[],146012
423077321,i bought in 802 rupees,"Best quality, weightless, looking awesome, and comfort",Vaibhav G.,4,2022-12-06T04:16:52Z,verified_reviewer,[],146012
420663703,Awesome Product,Good quality frame,Sairam,5,2022-11-23T13:07:08Z,verified_reviewer,[],146012
419073985,Average,Frame is Nice but lenses are not strong broken/scratch after dropped,Ankit R.,3,2022-11-17T13:10:30Z,anonymous_user,[],146012
418988720,Good fitting,Good fitting,Anuj,5,2022-11-17T04:48:50Z,verified_buyer,[],146012
418981536,This looks good but a,This looks good but a bit larger,Shiva,4,2022-11-17T03:59:26Z,verified_buyer,[],146012
418243151,"Good , but it has","Good , but it has some reflection problem in day light.",Debasish,4,2022-11-14T05:35:58Z,verified_buyer,[],146012
418154656,V good,V good,Rachana,5,2022-11-13T07:53:14Z,verified_buyer,[],146012
417575670,Very good,Very good,Rajesh,5,2022-11-11T05:00:29Z,verified_buyer,[],146012
416177801,Next level,Best quality and fast deliverd,Mukesh B.,5,2022-11-04T19:09:27Z,anonymous_user,[],146012
414862871,good 👍,good,Lilambar S.,4,2022-10-31T11:30:31Z,anonymous_user,[],146012
414778270,eyeglasses,very very nice for blue coting and fream air best work,abdul a.,5,2022-10-31T07:03:32Z,verified_reviewer,[],146012
414207499,Good,Very good,Lucky R.,5,2022-10-28T11:02:42Z,anonymous_user,[],146012
412255053,defective,has some scratches on glass and frame too,Vaishnavi m.,3,2022-10-20T06:52:54Z,anonymous_user,[],146012
412211975,Alingments,"There is an issue of alignment, I take the help of the executive but Im still not satisfied because when I tried this at the store and when I received the product I found differences in alignment",prabhat d.,3,2022-10-20T00:54:30Z,verified_reviewer,[],146012
409632611,good,the product is slim in design and compact too,shankrappa ,5,2022-10-12T07:45:22Z,anonymous_user,[],146012
409632490,good,the product is stylish and the power of glasses are also good,shankrappa ,5,2022-10-12T07:44:15Z,anonymous_user,[],146012
408852148,vary good,it was vary nice product,Abdul A.,5,2022-10-10T10:00:17Z,anonymous_user,[],146012
408176120,GOOD,Very nice but I dont like lenskart logo on right side glass,Ankit R.,5,2022-10-07T08:40:21Z,anonymous_user,[],146012
406581964,review,very good service quality is super,mohit b.,5,2022-09-30T12:46:18Z,anonymous_user,[],146012
406304254,Lenskart op,A good quality product,DB S.,5,2022-09-29T05:54:04Z,anonymous_user,[],146012
403685016,good,nice,fayaz ,5,2022-09-16T06:44:44Z,anonymous_user,[],146012
398537724,excellent,real true beauty of your excellent work love it,R K.,5,2022-08-30T15:13:05Z,anonymous_user,[],146012
395466547,Looks,It looks nice but it could have been more better in terms of quality,Bhaskar M.,4,2022-08-20T05:06:28Z,verified_reviewer,[],146012
392081155,Awesome 👍,I am Satisfied with this product thank you lenskart,Abhi l.,4,2022-08-12T15:11:50Z,anonymous_user,[],146012
391602340,Excellent,"you can surely go for it,best quality and lenses and fram is also very good in looks and quality wise,worth it,absolutely go for middle frame size,anyone not gonna to regret about",Vibhu s.,5,2022-08-10T17:26:20Z,anonymous_user,[],146012
387721125,Good quality. And the visibility is good. Go for 3600 plan. which has scratch resistance and dust.,there is no antifog for 2600 plan so go for 3600,Appu B.,5,2022-07-25T07:32:17Z,verified_reviewer,[],146012
386657277,tight frame,"frame is tight, leaves mark on nose and near the ears",Shubham S.,3,2022-07-20T02:35:41Z,verified_reviewer,[],146012
385300737,good. classy smart and elegant,awesome purchase and a very good value for money,Rajesh S.,5,2022-07-12T12:36:02Z,anonymous_user,[],146012
383579166,Loved it,"I absolutely loved these glasses, It looks so good in real life and It was a perfect fit for me I would definitely recommend it",MK N.,5,2022-07-03T21:21:47Z,verified_reviewer,[],146012
382604638,average,"transparent frame and lens are great, and quality is top notch, but they use feviquick which turned it white from transparent, its side look is spoiled and looks white, but from front it is good, it you are gonna buy transparent or crystal frame be carefull",akashi ,3,2022-06-30T12:01:26Z,anonymous_user,[],146012
380442959,Amazing specs,"Great looking specs. Value for money, just for it without thinking much ! 💯🔥",Abdul R.,5,2022-06-22T08:28:36Z,anonymous_user,[],146012
380421460,Nice product,"Light weight, Premium design,Nice product,clear visible",soumya ,5,2022-06-22T05:27:40Z,verified_reviewer,[],146012
379573347,Very good,This spex is very light and good. Its best suited for computer users,Jayvardhan,5,2022-06-18T17:09:07Z,anonymous_user,[],146012
379007662,look is good,"i like the frame and lens, but its stick outward, it should be align inward like other frames so it tightly fit while wearing it, it stick its stick is not straight, its slightly curved inside so i cant bend it little more to adjust on my face",akashi ,3,2022-06-16T16:57:39Z,anonymous_user,[],146012
378813955,very good,very good quality,Dey ,4,2022-06-16T06:20:30Z,anonymous_user,[],146012
377464462,Recommendable,I loved the specs its small rectangular in shape with perfect fit Thankyou Lenskart,Khushi G.,5,2022-06-11T17:07:32Z,anonymous_user,[],146012
375130917,Nice specs and lenses ✨,deliver before the date of delivery date quality of frame is good,Waqar A.,3,2022-06-06T05:53:28Z,verified_reviewer,[],146012
374740236,awesome,awesome,NAV s.,5,2022-06-05T02:09:06Z,verified_reviewer,[],146012
372204827,Excellent,Very light weight and extremely well designed,deepjoy L.,5,2022-05-30T10:50:34Z,anonymous_user,[],146012
370413306,very nice quality,good product,gopi ,5,2022-05-26T00:51:01Z,anonymous_user,[],146012
362493725,Awesome,"My partner selected this one for me, and I must say, I am loving it",Sandipan D.,5,2022-05-02T14:48:35Z,verified_reviewer,[],146012
357781586,comfortable glasses,I satisfied customers sale services,Mohesh D.,5,2022-04-18T03:17:58Z,anonymous_user,[],146012
357286260,The Best.,"Man, I am loving this specs l, At first I was skeptical about how would I look in it, But after a day of usage, I am in love with this, Fits perfect, looks fine, All in all the best so far",Sandipan D.,5,2022-04-15T12:12:02Z,verified_reviewer,[],146012
347640001,Go for it!!,Excellent quality of frame and lenses. Very light and comfortable to wear. Looks good and trendy as well! Go for it!,Ravi P.,5,2022-03-17T07:33:38Z,verified_reviewer,[],146012
346983951,Premium,Just go for it without any hesitation,Anjum S.,5,2022-03-15T11:42:11Z,verified_reviewer,[],146012
346266213,Fitting not upto the mark,The spectacle is slightly bent,Sneh D.,3,2022-03-12T17:28:40Z,verified_reviewer,[],146012
344951703,good,good,Ajeet K.,5,2022-03-08T11:45:33Z,anonymous_user,[],146012
344239328,Satisfied with Product quality and customer service,I really liked this specs looks good on me and quality is nice,SRP  ,5,2022-03-05T16:40:35Z,anonymous_user,[],146012
337305482,Excellent glasses,"Excellent glasses, quality of frame and lenses are amazing",Omkar ,5,2022-02-12T13:01:37Z,anonymous_user,[],146012
335321298,"lenscart shop crossing republic 
behaviour not good",staff not good,Dinesh V.,4,2022-02-07T13:53:00Z,anonymous_user,[],146012
333824041,Sharma,"Very very happy with the purchase. Lenskart rocks! Best part about them is they cut the lenses to exact precision. I've never had any issue such as headache or irregular vision whenever I buy from them. Talking about this product, it's perfect fit and it looks soo soo good and premium. Definitely recommended.",Lavneet,5,2022-02-02T10:45:56Z,verified_reviewer,[],146012
330335712,That golden nd white combination is just classy,"perfect frame size , neither big nor small",Danish u.,5,2022-01-19T16:25:12Z,anonymous_user,[],146012
325499620,nice frame,"perfect and amazing eyeglasses , comfortable fit with nice design , looks good",Himanshu G.,5,2021-12-30T16:43:34Z,anonymous_user,[],146012
315540887,good frame,"im giving 5 star bcz Im exchanging my frame for the fourth time bcz of size issues , They are so kind that If You dont like the frame you can exchange or ask for refund n number of times,,quality of this particular frame is really good",jerin ,5,2021-11-28T13:36:19Z,anonymous_user,[],146012
314849279,About glasses,firstly lenskart provided too small case but I changed it from nearby lenskart store so ultimately good quality and satisfied with frame and glasses,Vimal R.,4,2021-11-25T13:30:44Z,verified_reviewer,[],146012
313882394,it's very nice.. u can go for it!,good,Veeresh G.,5,2021-11-21T07:07:36Z,anonymous_user,[],146012
313881897,best,best if b st,Rahul S.,5,2021-11-21T06:55:45Z,anonymous_user,[],146012
306966304,Lenskart never disappoints,"perfect fit, perfect style keep up the good work you guys are awesome",saikat ,5,2021-10-30T11:42:32Z,verified_reviewer,[],146012
